Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
Zip Code: 60611,May-18,$422K,0.70%,0.50%,328,28.60%,11.90%,634,5.80%,13.40%,719,2.60%,6.80%,77,-13,7,97.50%,0.10%,0.30%
Zip Code: 60611,Jun-18,$440K,4.30%,11.70%,365,11.30%,13.70%,589,-7.10%,5.90%,723,0.60%,8.60%,72,-5,4,97.50%,-0.10%,-0.20%
Zip Code: 60611,Jul-18,$413K,-6.10%,6.40%,389,6.60%,9.00%,529,-10.20%,0.00%,695,-3.90%,7.10%,77,5,10,97.40%,-0.10%,-0.40%
Zip Code: 60611,Aug-18,$401K,-2.90%,5.90%,358,-8.00%,-4.80%,439,-17.00%,-10.40%,664,-4.50%,3.60%,77,0,14,97.10%,-0.30%,-0.40%
Zip Code: 60611,Sep-18,$420K,4.70%,9.40%,327,-8.70%,0.90%,433,-1.40%,-3.60%,689,3.80%,1.50%,77,0,8,96.90%,-0.20%,-0.30%
Zip Code: 60611,Oct-18,$415K,-1.20%,6.30%,269,-17.70%,-9.10%,401,-7.40%,-8.90%,657,-4.60%,1.50%,84,7,13,96.60%,-0.30%,-0.20%
Zip Code: 60611,Nov-18,$413K,-0.60%,-0.80%,260,-3.30%,-0.80%,367,-8.50%,1.70%,599,-8.80%,3.10%,101,18,16,96.40%,-0.20%,-0.20%
Zip Code: 60611,Dec-18,$373K,-9.60%,-11.20%,208,-20.00%,-20.30%,251,-31.60%,-4.20%,532,-11.20%,11.50%,115,14,25,96.40%,0.00%,-0.10%
Zip Code: 60611,Jan-19,$418K,12.10%,2.50%,181,-13.00%,-25.50%,294,17.10%,0.30%,595,11.80%,13.50%,119,4,14,96.30%,-0.20%,-0.30%
Zip Code: 60611,Feb-19,$409K,-2.20%,2.90%,144,-20.40%,-31.40%,379,28.90%,-2.10%,665,11.80%,12.00%,118,-1,12,96.30%,0.10%,-0.90%
